2018-11-30 17:00:15.012	begin http listen, port=8989
2018-11-30 17:00:15.013	binding error
2018-11-30 17:00:31.119	begin http listen, port=8989
2018-11-30 17:00:31.119	binding error
2018-11-30 17:00:47.221	begin http listen, port=8989
2018-11-30 17:00:47.221	binding error
2018-11-30 17:01:03.332	begin http listen, port=8989
2018-11-30 17:01:03.332	binding error
2018-11-30 17:01:19.442	begin http listen, port=8989
2018-11-30 17:01:19.442	binding error
2018-11-30 17:01:35.552	begin http listen, port=8989
2018-11-30 17:01:35.552	binding error
2018-11-30 17:01:51.659	begin http listen, port=8989
2018-11-30 17:01:51.659	binding error
2018-11-30 17:02:07.771	begin http listen, port=8989
2018-11-30 17:02:07.771	binding error
2018-11-30 17:02:23.876	begin http listen, port=8989
2018-11-30 17:02:23.876	binding error
2018-11-30 17:02:39.976	begin http listen, port=8989
2018-11-30 17:02:39.977	binding error
2018-11-30 17:02:56.084	begin http listen, port=8989
2018-11-30 17:02:56.084	binding error
2018-11-30 17:03:12.173	begin http listen, port=8989
2018-11-30 17:03:12.173	binding error
2018-11-30 17:03:28.272	begin http listen, port=8989
2018-11-30 17:03:28.272	binding error
2018-11-30 17:03:44.378	begin http listen, port=8989
2018-11-30 17:03:44.378	binding error
2018-11-30 17:04:00.486	begin http listen, port=8989
2018-11-30 17:04:00.486	binding error
2018-11-30 17:04:16.587	begin http listen, port=8989
2018-11-30 17:04:16.588	binding error
2018-11-30 17:04:32.695	begin http listen, port=8989
2018-11-30 17:04:32.696	binding error
2018-11-30 17:04:48.796	begin http listen, port=8989
2018-11-30 17:04:48.796	binding error
2018-11-30 17:05:04.905	begin http listen, port=8989
2018-11-30 17:05:04.905	binding error
2018-11-30 17:05:21.013	begin http listen, port=8989
2018-11-30 17:05:21.013	binding error
2018-11-30 17:05:37.123	begin http listen, port=8989
2018-11-30 17:05:37.123	binding error
2018-11-30 17:05:53.216	begin http listen, port=8989
2018-11-30 17:05:53.216	binding error
2018-11-30 17:06:09.327	begin http listen, port=8989
2018-11-30 17:06:09.327	binding error
2018-11-30 17:06:25.436	begin http listen, port=8989
2018-11-30 17:06:25.436	binding error
2018-11-30 17:06:41.536	begin http listen, port=8989
2018-11-30 17:06:41.536	binding error
2018-11-30 17:06:57.641	begin http listen, port=8989
2018-11-30 17:06:57.641	binding error
2018-11-30 17:07:13.750	begin http listen, port=8989
2018-11-30 17:07:13.751	binding error
2018-11-30 17:07:29.853	begin http listen, port=8989
2018-11-30 17:07:29.853	binding error
2018-11-30 17:07:45.952	begin http listen, port=8989
2018-11-30 17:07:45.952	binding error
2018-11-30 17:08:02.056	begin http listen, port=8989
2018-11-30 17:08:02.056	binding error
2018-11-30 17:08:18.156	begin http listen, port=8989
2018-11-30 17:08:18.157	binding error
2018-11-30 17:08:34.254	begin http listen, port=8989
2018-11-30 17:08:34.254	binding error
2018-11-30 17:08:50.359	begin http listen, port=8989
2018-11-30 17:08:50.359	binding error
2018-11-30 17:09:06.460	begin http listen, port=8989
2018-11-30 17:09:06.460	binding error
2018-11-30 17:09:22.559	begin http listen, port=8989
2018-11-30 17:09:22.560	binding error
2018-11-30 17:09:38.664	begin http listen, port=8989
2018-11-30 17:09:38.664	binding error
2018-11-30 17:09:54.767	begin http listen, port=8989
2018-11-30 17:09:54.768	binding error
2018-11-30 17:10:10.868	begin http listen, port=8989
2018-11-30 17:10:10.868	binding error
2018-11-30 17:10:26.977	begin http listen, port=8989
2018-11-30 17:10:26.977	binding error
2018-11-30 17:10:43.079	begin http listen, port=8989
2018-11-30 17:10:43.079	binding error
2018-11-30 17:10:59.173	begin http listen, port=8989
